trip_pattern,stop_id,static_offset_sec,static_stop_sequence,static_terminal_offset_sec,static_num_stops,static_remaining_sec,static_progress_pct
6..N01R,640N,0.0,1.0,3960.0,38,3960.0,0.0
6..N01R,639N,120.0,2.0,3960.0,38,3840.0,0.030303
6..N01R,638N,210.0,3.0,3960.0,38,3750.0,0.05303
6..N01R,637N,270.0,4.0,3960.0,38,3690.0,0.068182
6..N01R,636N,360.0,5.0,3960.0,38,3600.0,0.090909
6..N01R,635N,450.0,6.0,3960.0,38,3510.0,0.113636
6..N01R,634N,570.0,7.0,3960.0,38,3390.0,0.143939
6..N01R,633N,630.0,8.0,3960.0,38,3330.0,0.159091
6..N01R,632N,690.0,9.0,3960.0,38,3270.0,0.174242
6..N01R,631N,810.0,10.0,3960.0,38,3150.0,0.204545
6..N01R,630N,930.0,11.0,3960.0,38,3030.0,0.234848
6..N01R,629N,1020.0,12.0,3960.0,38,2940.0,0.257576
6..N01R,628N,1110.0,13.0,3960.0,38,2850.0,0.280303
6..N01R,627N,1230.0,14.0,3960.0,38,2730.0,0.310606
6..N01R,626N,1320.0,15.0,3960.0,38,2640.0,0.333333
6..N01R,625N,1440.0,16.0,3960.0,38,2520.0,0.363636
6..N01R,624N,1530.0,17.0,3960.0,38,2430.0,0.386364
6..N01R,623N,1590.0,18.0,3960.0,38,2370.0,0.401515
6..N01R,622N,1680.0,19.0,3960.0,38,2280.0,0.424242
6..N01R,621N,1770.0,20.0,3960.0,38,2190.0,0.44697
6..N01R,619N,1950.0,21.0,3960.0,38,2010.0,0.492424
6..N01R,618N,2040.0,22.0,3960.0,38,1920.0,0.515152
6..N01R,617N,2100.0,23.0,3960.0,38,1860.0,0.530303
6..N01R,616N,2220.0,24.0,3960.0,38,1740.0,0.560606
6..N01R,615N,2310.0,25.0,3960.0,38,1650.0,0.583333
6..N01R,614N,2400.0,26.0,3960.0,38,1560.0,0.606061
6..N01R,613N,2520.0,27.0,3960.0,38,1440.0,0.636364
6..N01R,612N,2610.0,28.0,3960.0,38,1350.0,0.659091
